id,country,countrycode,expiring,nl7,tvids,tmovs,tseries
21,Argentina ,AR,56,68,5695,3723,1972
23,Australia ,AU,85,46,6072,3870,2202
26,Belgium ,BE,63,62,6188,4131,2057
29,Brazil ,BR,58,71,5750,3778,1972
33,Canada ,CA,68,74,6062,3970,2092
36,Colombia ,CO,56,68,5485,3519,1966
307,Czech Republic ,CZ,66,86,7359,5268,2091
45,France ,FR,47,58,5914,3888,2026
39,Germany ,DE,61,80,6662,4558,2104
327,Greece ,GR,58,74,6204,4212,1992
331,Hong Kong ,HK,61,42,5609,3498,2111
334,Hungary ,HU,69,64,6897,4815,2082
265,Iceland ,IS,63,74,6244,4175,2069
337,India ,IN,68,41,5919,3655,2264
336,Israel ,IL,78,52,5715,3651,2064
269,Italy ,IT,45,79,5992,4018,1974
267,Japan ,JP,76,75,6610,4190,2420
357,Lithuania ,LT,66,72,6370,4286,2084
378,Malaysia ,MY,69,41,5955,3569,2386
65,Mexico ,MX,55,68,5762,3792,1970
67,Netherlands ,NL,53,94,6309,4305,2004
390,Philippines ,PH,61,43,5778,3426,2352
392,Poland ,PL,43,55,5953,4010,1943
268,Portugal ,PT,47,84,6000,4035,1965
400,Romania ,RO,79,74,6370,4360,2010
402,Russia,RU,65,38,5710,3624,2086
408,Singapore ,SG,63,52,6317,3951,2366
412,Slovakia ,SK,66,65,6471,4375,2096
447,South Africa,ZA,64,44,5887,3709,2178
348,South Korea,KR,65,45,5384,3383,2001
270,Spain ,ES,52,72,6089,4097,1992
73,Sweden ,SE,53,68,5622,3691,1931
34,Switzerland ,CH,70,62,6193,4026,2167
425,Thailand ,TH,60,50,6226,3888,2338
432,Turkey ,TR,56,44,5619,3656,1963
436,Ukraine ,UA,66,41,5339,3264,2075
46,United Kingdom,GB,86,58,6497,4223,2274
78,United States,US,70,59,5911,3784,2127
